source_path,source_sha256,source_size_bytes,source_format,claim_count,claim_ids,parent_manifest_path,parent_manifest_sha256
reports/research_log/major_revision_v3/FEATURE_AVAILABILITY_GOVERNANCE_CONTRACT.md,0f19e17db84e17f0a5e3aad179efb8323a37d5b63b9b032e119deadd159a7201,20259,md,1,C001,,
reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/README.md,f6ca7b8e8a48addaf6541595e0038d54eab8fb655c54d18c7b734844e74fb64c,3476,md,1,C002,reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/manifest.json,b97b558d8c373958d79847b4e8d568ca6f670e5438859df56213799601f3d389
reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/aggregate_metrics.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf,9461,csv,6,C101 | C102 | C103 | C104 | C105 | C106,reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/manifest.json,b97b558d8c373958d79847b4e8d568ca6f670e5438859df56213799601f3d389
reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/README.md,3631b3508bcbbfa181b6503bd6ff7ff76ca9d9eb57f315ecd0200794047647c6,3528,md,1,C003,reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/manifest.json,ce930c634e6108e6a9859df6eaac628bacde98cd7b71563ad0a067dc1849638b
reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/model_rank_summary.csv,dfd3c314b88ee8bb9113d11189ad8c1ae1e9538f9fa385f526dd261ae2eedfe1,1927,csv,2,C203 | C204,reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/manifest.json,ce930c634e6108e6a9859df6eaac628bacde98cd7b71563ad0a067dc1849638b
reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/ordering_stability.csv,5b36d6eb639441408a5997a60aaddb5cfc3a9b8986b4e3a1be6b6eaf50c4ca22,985,csv,1,C205,reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/manifest.json,ce930c634e6108e6a9859df6eaac628bacde98cd7b71563ad0a067dc1849638b
reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/variability_summary.csv,f50bbd1bb89e479ccdeb3e15538ea5f4a5c2eeabad6ef3d6d40d5439384c2acf,6493,csv,2,C201 | C202,reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/manifest.json,ce930c634e6108e6a9859df6eaac628bacde98cd7b71563ad0a067dc1849638b
reports/research_log/major_revision_v3/phase1d_policy_retuning/README.md,6454f8eae651fee2b40d9b9e5834d623cbb69e6e381749446bbf079036ca41a1,3596,md,1,C004,reports/research_log/major_revision_v3/phase1d_policy_retuning/manifest.json,57f00a27f7de87f2f931fef1b29f7435e5869f77b14f065d98b7dbd19d2c1303
reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,2431,csv,3,C301 | C302 | C303,reports/research_log/major_revision_v3/phase1d_policy_retuning/manifest.json,57f00a27f7de87f2f931fef1b29f7435e5869f77b14f065d98b7dbd19d2c1303
reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness/README.md,3cfef71caf62e974e312fcebe92e8290b09c18ea7db048a9b89d0d94ff9235f9,2888,md,1,C005,reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness/manifest.json,4cd7bcace03d556e2bd27eea4dca87143745914ddd56136476edc6c662e44481
reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness/faithfulness_contrasts.csv,c8fa92829a3c519eeee7718e42c8ab13b5380d780ded9ab3019ef3175d5c06a3,1114,csv,1,C403,reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness/manifest.json,4cd7bcace03d556e2bd27eea4dca87143745914ddd56136476edc6c662e44481
reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness/stability_summary.csv,4329e361ae3d006474efa724b4ef4b82d361ce4a3b3fb667f0b7169e0fbc0496,1869,csv,2,C401 | C402,reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness/manifest.json,4cd7bcace03d556e2bd27eea4dca87143745914ddd56136476edc6c662e44481
reports/research_log/major_revision_v3/phase2b_calibration_diagnostics/README.md,506fa99890bc3a915b83cbef440050db2824be590308a954ca22ee8f6b95a938,3836,md,1,C006,reports/research_log/major_revision_v3/phase2b_calibration_diagnostics/manifest.json,196d9eea87a160b375ddf215fc131142598b0338fa373a7474aaaa1b865d29f3
reports/research_log/major_revision_v3/phase2b_calibration_diagnostics/method_comparison.csv,bac8344ec08129d92a38ffe5c968da576b57fe8bac48aa0f7b50e052e4f3bbb3,1662,csv,2,C501 | C502,reports/research_log/major_revision_v3/phase2b_calibration_diagnostics/manifest.json,196d9eea87a160b375ddf215fc131142598b0338fa373a7474aaaa1b865d29f3
reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/README.md,15654d4f69a36ba82009f0d80a38c059a4c4ba2dd55faee673f7a0eae9894a98,4535,md,1,C007,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/manifest.json,0720d0575154b850a0d3cb89b9bb09403dd514f1e9ebde87ff458189185077f0
reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/department_reconstructability_metrics.csv,e838ea0f0e447df3abc6e6b10af5147db2b65ba955e8eaf92952bb54a6a82b4c,9281,csv,2,C605 | C606,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/manifest.json,0720d0575154b850a0d3cb89b9bb09403dd514f1e9ebde87ff458189185077f0
reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/jobrole_permutation_summary.csv,8d0af59191a90fe7fd78b14f6055b3f06fbda2b74ac74016b4c78b96d016d5ca,4704,csv,2,C603 | C604,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/manifest.json,0720d0575154b850a0d3cb89b9bb09403dd514f1e9ebde87ff458189185077f0
reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/proxy_prediction_change_by_department.csv,79ba56a192c8baccd5098ea37bfc1ab3e7d64f02276fe710df458df068d5963f,4125,csv,2,C601 | C602,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/manifest.json,0720d0575154b850a0d3cb89b9bb09403dd514f1e9ebde87ff458189185077f0
reports/research_log/major_revision_v3/phase3a_hrdataset_sensitivity/README.md,0ed65fed2414c386c53ee3f938c24b7f505bc4254adce6953ed727691b6afb83,4432,md,1,C008,reports/research_log/major_revision_v3/phase3a_hrdataset_sensitivity/manifest.json,415f1bc5d346c282e51dcc1212335c80c0ee3cd7a673180b22bc4b36f52d1651
reports/research_log/major_revision_v3/phase3a_hrdataset_sensitivity/variability_summary.csv,1725d5161c414f21fe353fe01cf685cffc59ef5dde1b5253e0bf494b47659cd2,21012,csv,2,C701 | C702,reports/research_log/major_revision_v3/phase3a_hrdataset_sensitivity/manifest.json,415f1bc5d346c282e51dcc1212335c80c0ee3cd7a673180b22bc4b36f52d1651
reports/research_log/major_revision_v3/phase3b_data_quality/DATA_QUALITY_REPORT.md,7a7ff636b2803e399ec4b1ae30d9604769d15bd7e50b7cdb65a3ce8b81c26c2f,5939,md,1,C009,reports/research_log/major_revision_v3/phase3b_data_quality/manifest.json,07083ec83ac01e9393995b30c697190e2ee5221cd54aa3b54fbde01072f57eea
reports/research_log/major_revision_v3/phase3b_data_quality/dataset_summary.csv,df7d21a23be7cad851161d821f7ac376c30d5c6e5c8783c45fdee227de148d0b,1018,csv,4,C801 | C802 | C803 | C804,reports/research_log/major_revision_v3/phase3b_data_quality/manifest.json,07083ec83ac01e9393995b30c697190e2ee5221cd54aa3b54fbde01072f57eea
reports/research_log/major_revision_v3/phase3b_data_quality/target_distribution.csv,4845da4f51bdd6651e7a54c1aaa279cbe0af1d0dd5fc8d0175bcdaf1cc0a2502,714,csv,1,C703,reports/research_log/major_revision_v3/phase3b_data_quality/manifest.json,07083ec83ac01e9393995b30c697190e2ee5221cd54aa3b54fbde01072f57eea
reports/research_log/major_revision_v3/phase4a_literature/NOVELTY_POSITIONING.md,b32962d51746d31eba5122e6f4eb3e5c119a02558f0632f2a845f7d7dd435299,3564,md,1,C010,reports/research_log/major_revision_v3/phase4a_literature/manifest.json,e7b8fdd654c228344d13ec37c8817414b977a5173e5ca3721cbd2641b61c1730
reports/research_log/major_revision_v3/phase4b_release_readiness/BLOCKER_REGISTER.csv,0d42241dc670f7c2773bc97830dcd8ec3aa4cf3396ad650d491bcdca87241954,1167,csv,1,C013,reports/research_log/major_revision_v3/phase4b_release_readiness/manifest.json,d166397d1a0c08df89c893cc092902d2c69671d0c5a52055f3a298bb4fe6ea9e
reports/research_log/major_revision_v3/phase4b_release_readiness/DATA_PROVENANCE_LICENSE_REGISTER.csv,9e5880bfcd44e5168ec373f3663a75cba53d0587f15d5b778933929953bcc5a4,5307,csv,1,C011,reports/research_log/major_revision_v3/phase4b_release_readiness/manifest.json,d166397d1a0c08df89c893cc092902d2c69671d0c5a52055f3a298bb4fe6ea9e
reports/research_log/major_revision_v3/phase4b_release_readiness/ETHICS_DECLARATIONS_REGISTER.csv,c95a298194f42d1f77f8dfd9fbac5ba4a5f5dccfab607eb51f805acb43fc9f79,1989,csv,1,C012,reports/research_log/major_revision_v3/phase4b_release_readiness/manifest.json,d166397d1a0c08df89c893cc092902d2c69671d0c5a52055f3a298bb4fe6ea9e
