attribute,group_value,class_label,n_samples,mean_predicted_probability,positive_prediction_rate,tpr_equal_opportunity,fpr,precision,support_positive,support_negative
Gender,Female,2,96,0.17728171488405728,0.125,0.9166666666666666,0.011904761904761904,0.9166666666666666,12,84
Gender,Male,2,144,0.1958188014697665,0.16666666666666666,0.8148148148148148,0.017094017094017096,0.9166666666666666,27,117
Gender,Female,3,96,0.6802942011606925,0.78125,1.0,0.08695652173913043,0.9733333333333334,73,23
Gender,Male,3,144,0.672723435908607,0.7638888888888888,0.9803921568627451,0.23809523809523808,0.9090909090909091,102,42
Gender,Female,4,96,0.14242408395525014,0.09375,0.8181818181818182,0.0,1.0,11,85
Gender,Male,4,144,0.13145776262162656,0.06944444444444445,0.6666666666666666,0.0,1.0,15,129
MaritalStatus,Divorced,2,60,0.18937833349705896,0.15,0.8,0.02,0.8888888888888888,10,50
MaritalStatus,Married,2,105,0.21533625451970723,0.19047619047619047,0.8181818181818182,0.024096385542168676,0.9,22,83
MaritalStatus,Single,2,75,0.1499192707483077,0.09333333333333334,1.0,0.0,1.0,7,68
MaritalStatus,Divorced,3,60,0.6970254751371531,0.8166666666666667,1.0,0.26666666666666666,0.9183673469387755,45,15
MaritalStatus,Married,3,105,0.6597441940264162,0.7523809523809524,0.974025974025974,0.14285714285714285,0.9493670886075949,77,28
MaritalStatus,Single,3,75,0.6811433226835067,0.76,1.0,0.18181818181818182,0.9298245614035088,53,22
MaritalStatus,Divorced,4,60,0.1135961913657879,0.03333333333333333,0.4,0.0,1.0,5,55
MaritalStatus,Married,4,105,0.12491955145387666,0.05714285714285714,1.0,0.0,1.0,6,99
MaritalStatus,Single,4,75,0.16893740656818554,0.14666666666666667,0.7333333333333333,0.0,1.0,15,60
EmpDepartment,Data Science,2,2,0.2649919965646669,0.0,0.0,0.0,0.0,0,2
EmpDepartment,Development,2,74,0.13519947844075494,0.0,0.0,0.0,0.0,3,71
EmpDepartment,Finance,2,8,0.26721474695954656,0.375,1.0,0.0,1.0,3,5
EmpDepartment,Human Resources,2,10,0.16555531248186806,0.1,1.0,0.0,1.0,1,9
EmpDepartment,Research & Development,2,68,0.20820470753616593,0.20588235294117646,0.9333333333333333,0.0,1.0,15,53
EmpDepartment,Sales,2,78,0.21450019781815824,0.23076923076923078,0.8823529411764706,0.04918032786885246,0.8333333333333334,17,61
EmpDepartment,Data Science,3,2,0.6416627012077731,1.0,1.0,0.0,1.0,2,0
EmpDepartment,Development,3,74,0.7258723667628322,0.918918918918919,1.0,0.4,0.9411764705882353,64,10
EmpDepartment,Finance,3,8,0.6470246035872322,0.625,1.0,0.0,1.0,5,3
EmpDepartment,Human Resources,3,10,0.6222545818531773,0.7,1.0,0.25,0.8571428571428571,6,4
EmpDepartment,Research & Development,3,68,0.6569819889335077,0.7058823529411765,1.0,0.16666666666666666,0.9166666666666666,44,24
EmpDepartment,Sales,3,78,0.6552438415986231,0.7051282051282052,0.9629629629629629,0.125,0.9454545454545454,54,24
EmpDepartment,Data Science,4,2,0.09334530222756002,0.0,0.0,0.0,0.0,0,2
EmpDepartment,Development,4,74,0.1389281547964128,0.08108108108108109,0.8571428571428571,0.0,1.0,7,67
EmpDepartment,Finance,4,8,0.08576064945322118,0.0,0.0,0.0,0.0,0,8
EmpDepartment,Human Resources,4,10,0.21219010566495472,0.2,0.6666666666666666,0.0,1.0,3,7
EmpDepartment,Research & Development,4,68,0.1348133035303264,0.08823529411764706,0.6666666666666666,0.0,1.0,9,59
EmpDepartment,Sales,4,78,0.1302559605832187,0.0641025641025641,0.7142857142857143,0.0,1.0,7,71
EducationBackground,Human Resources,2,5,0.11457125106097643,0.0,0.0,0.0,0.0,0,5
EducationBackground,Life Sciences,2,96,0.16389503699753258,0.09375,0.8181818181818182,0.0,1.0,11,85
EducationBackground,Marketing,2,26,0.2927393309164066,0.38461538461538464,0.8888888888888888,0.11764705882352941,0.8,9,17
EducationBackground,Medical,2,72,0.19168768961803329,0.1388888888888889,0.75,0.016666666666666666,0.9,12,60
EducationBackground,Other,2,20,0.12636306354112214,0.05,1.0,0.0,1.0,1,19
EducationBackground,Technical Degree,2,21,0.23667498601430728,0.2857142857142857,1.0,0.0,1.0,6,15
EducationBackground,Human Resources,3,5,0.6522281901757268,0.8,1.0,0.5,0.75,3,2
EducationBackground,Life Sciences,3,96,0.7019542210295246,0.8125,1.0,0.18181818181818182,0.9487179487179487,74,22
EducationBackground,Marketing,3,26,0.5428907000020057,0.5,0.8461538461538461,0.15384615384615385,0.8461538461538461,13,13
EducationBackground,Medical,3,72,0.6758494016618359,0.7916666666666666,1.0,0.25,0.9122807017543859,52,20
EducationBackground,Other,3,20,0.7362468006461645,0.9,1.0,0.0,1.0,18,2
EducationBackground,Technical Degree,3,21,0.6681152752345365,0.7142857142857143,1.0,0.0,1.0,15,6
EducationBackground,Human Resources,4,5,0.23320055876329687,0.2,0.5,0.0,1.0,2,3
EducationBackground,Life Sciences,4,96,0.13415074197294283,0.09375,0.8181818181818182,0.0,1.0,11,85
EducationBackground,Marketing,4,26,0.16436996908158777,0.11538461538461539,0.75,0.0,1.0,4,22
EducationBackground,Medical,4,72,0.13246290872013075,0.06944444444444445,0.625,0.0,1.0,8,64
EducationBackground,Other,4,20,0.13739013581271334,0.05,1.0,0.0,1.0,1,19
EducationBackground,Technical Degree,4,21,0.09520973875115624,0.0,0.0,0.0,0.0,0,21
BusinessTravelFrequency,Non-Travel,2,28,0.1467090546584427,0.07142857142857142,0.6666666666666666,0.0,1.0,3,25
BusinessTravelFrequency,Travel_Frequently,2,36,0.19776345345404742,0.16666666666666666,1.0,0.0,1.0,6,30
BusinessTravelFrequency,Travel_Rarely,2,176,0.19312280787348735,0.1590909090909091,0.8333333333333334,0.02054794520547945,0.8928571428571429,30,146
BusinessTravelFrequency,Non-Travel,3,28,0.7387330582205563,0.8571428571428571,1.0,0.2,0.9583333333333334,23,5
BusinessTravelFrequency,Travel_Frequently,3,36,0.6859397319405776,0.7777777777777778,1.0,0.2727272727272727,0.8928571428571429,25,11
BusinessTravelFrequency,Travel_Rarely,3,176,0.6636480801263042,0.7556818181818182,0.984251968503937,0.16326530612244897,0.9398496240601504,127,49
BusinessTravelFrequency,Non-Travel,4,28,0.11455788712100101,0.07142857142857142,1.0,0.0,1.0,2,26
BusinessTravelFrequency,Travel_Frequently,4,36,0.11629681460537508,0.05555555555555555,0.4,0.0,1.0,5,31
