min_support,attribute,class_label,metric,n_groups_included,max_gap,min,max
10,BusinessTravelFrequency,2,positive_prediction_rate,3,0.09523809523809523,0.07142857142857142,0.16666666666666666
10,BusinessTravelFrequency,2,tpr_equal_opportunity,3,0.33333333333333337,0.6666666666666666,1.0
10,BusinessTravelFrequency,2,fpr,3,0.02054794520547945,0.0,0.02054794520547945
10,BusinessTravelFrequency,2,precision,3,0.1071428571428571,0.8928571428571429,1.0
10,BusinessTravelFrequency,2,mean_predicted_probability,3,0.05105439879560472,0.1467090546584427,0.19776345345404742
10,BusinessTravelFrequency,3,positive_prediction_rate,3,0.10146103896103886,0.7556818181818182,0.8571428571428571
10,BusinessTravelFrequency,3,tpr_equal_opportunity,3,0.015748031496062964,0.984251968503937,1.0
10,BusinessTravelFrequency,3,fpr,3,0.10946196660482374,0.16326530612244897,0.2727272727272727
10,BusinessTravelFrequency,3,precision,3,0.06547619047619047,0.8928571428571429,0.9583333333333334
10,BusinessTravelFrequency,3,mean_predicted_probability,3,0.07508497809425219,0.6636480801263042,0.7387330582205563
10,BusinessTravelFrequency,4,positive_prediction_rate,3,0.02967171717171717,0.05555555555555555,0.08522727272727272
10,BusinessTravelFrequency,4,tpr_equal_opportunity,3,0.6,0.4,1.0
10,BusinessTravelFrequency,4,fpr,3,0.0,0.0,0.0
10,BusinessTravelFrequency,4,precision,3,0.0,1.0,1.0
10,BusinessTravelFrequency,4,mean_predicted_probability,3,0.028671224879207535,0.11455788712100101,0.14322911200020855
10,EducationBackground,2,positive_prediction_rate,5,0.33461538461538465,0.05,0.38461538461538464
10,EducationBackground,2,tpr_equal_opportunity,5,0.25,0.75,1.0
10,EducationBackground,2,fpr,5,0.11764705882352941,0.0,0.11764705882352941
10,EducationBackground,2,precision,5,0.19999999999999996,0.8,1.0
10,EducationBackground,2,mean_predicted_probability,5,0.16637626737528444,0.12636306354112214,0.2927393309164066
10,EducationBackground,3,positive_prediction_rate,5,0.4,0.5,0.9
10,EducationBackground,3,tpr_equal_opportunity,5,0.15384615384615385,0.8461538461538461,1.0
10,EducationBackground,3,fpr,5,0.25,0.0,0.25
10,EducationBackground,3,precision,5,0.15384615384615385,0.8461538461538461,1.0
10,EducationBackground,3,mean_predicted_probability,5,0.19335610064415887,0.5428907000020057,0.7362468006461645
10,EducationBackground,4,positive_prediction_rate,5,0.11538461538461539,0.0,0.11538461538461539
10,EducationBackground,4,tpr_equal_opportunity,5,1.0,0.0,1.0
10,EducationBackground,4,fpr,5,0.0,0.0,0.0
10,EducationBackground,4,precision,5,1.0,0.0,1.0
10,EducationBackground,4,mean_predicted_probability,5,0.06916023033043153,0.09520973875115624,0.16436996908158777
10,EmpDepartment,2,positive_prediction_rate,4,0.23076923076923078,0.0,0.23076923076923078
10,EmpDepartment,2,tpr_equal_opportunity,4,1.0,0.0,1.0
10,EmpDepartment,2,fpr,4,0.04918032786885246,0.0,0.04918032786885246
