feature_set,model,n_features,n_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,weighted_precision_mean,weighted_precision_std,macro_recall_mean,macro_recall_std,weighted_recall_mean,weighted_recall_std,ordinal_mae_mean,ordinal_mae_std,quadratic_weighted_kappa_mean,quadratic_weighted_kappa_std,severe_error_rate_mean,severe_error_rate_std,nll_log_loss_mean,nll_log_loss_std,multiclass_brier_mean,multiclass_brier_std
all_features,catboost,24,10,0.8983333333333332,0.025998575459550206,0.8639937980954315,0.039583604225374075,0.8577848832555475,0.03943535844832629,0.9004176041184415,0.02500975710798796,0.8662718872254439,0.04053213586129899,0.9089854483823258,0.023033051964927,0.8639937980954315,0.039583604225374075,0.8983333333333332,0.025998575459550206,0.10583333333333333,0.027791663196179473,0.7949425947402163,0.05686372450420523,0.0041666666666666675,0.004392052305789415,0.270079601277536,0.04299438002085471,0.15718691945888266,0.028462048176201897
all_features,lightgbm,24,10,0.9358333333333334,0.025169180644609542,0.8890814383237251,0.04088909501296985,0.9032172479662994,0.03774308636908237,0.9351102485020422,0.025326347144152012,0.9241876036074368,0.04368280342484914,0.9371298140674493,0.025596393187459775,0.8890814383237251,0.04088909501296985,0.9358333333333334,0.025169180644609542,0.06666666666666668,0.02777777777777778,0.8632702659464423,0.06224820338135595,0.0025,0.004025382429497066,0.33435576055312144,0.0921769048393994,0.11365809616298142,0.036116738112351186
all_features,xgboost,24,10,0.9349999999999999,0.021081851067789176,0.8899124287690532,0.02714298684025052,0.9037820216268916,0.030107546969550238,0.9346765880864314,0.020632361873263175,0.9247958766395883,0.03717120652283316,0.9371912368668436,0.01957616615082883,0.8899124287690532,0.02714298684025052,0.9349999999999999,0.021081851067789176,0.06666666666666668,0.022566773346211,0.8676215062682555,0.047555253355057316,0.0016666666666666666,0.0035136418446315323,0.2026996950534612,0.04750003408306964,0.1089876375242487,0.0305998962407724
no_department,catboost,23,10,0.8941666666666668,0.02080553701230446,0.8542805127923095,0.03862390520794082,0.851754629704821,0.0341340596653877,0.8958405031673731,0.020688016986592856,0.8613260276984048,0.029953774827153182,0.9026343036592314,0.020036145100771202,0.8542805127923095,0.03862390520794082,0.8941666666666668,0.02080553701230446,0.10916666666666668,0.02095335796182901,0.789296846055913,0.04324760479642401,0.003333333333333333,0.004303314829119352,0.26756810138400006,0.04083961524185051,0.15656047841015824,0.0274148157978635
no_department,lightgbm,23,10,0.9283333333333333,0.02459549291242074,0.8900047880129549,0.04142156506384232,0.8985976325704528,0.03358162800433402,0.9284425973563349,0.02443452114765771,0.9142343104255233,0.037539567941293865,0.9315217338987795,0.024108405243917115,0.8900047880129549,0.04142156506384232,0.9283333333333333,0.02459549291242074,0.07333333333333333,0.025092421756969366,0.8560817806533274,0.04945001213573487,0.0016666666666666666,0.0035136418446315323,0.3539937120836421,0.0971443292275257,0.12396797935358735,0.03980208274827122
no_department,xgboost,23,10,0.93,0.024279748203791286,0.8884952449244647,0.03441226607349551,0.8965142306893144,0.03677703622784332,0.930111376271409,0.023561147568018536,0.9133707002165428,0.04449713862875166,0.9337634493904341,0.02259882480810975,0.8884952449244647,0.03441226607349551,0.93,0.024279748203791286,0.0725,0.027791663196179473,0.8557005579798782,0.061677616782031194,0.0025,0.004025382429497066,0.21026234051449513,0.04227927073194464,0.11345855790963748,0.028156404337304188
no_salary_hike,catboost,23,10,0.8166666666666668,0.02421610524189261,0.6033134626011214,0.03889099746547704,0.5606603159613603,0.037141144210293,0.770948520107152,0.02316551736683094,0.5523815429652477,0.1168585740696162,0.7405602105450911,0.04827933416922774,0.6033134626011214,0.03889099746547704,0.8166666666666668,0.02421610524189261,0.18583333333333335,0.025775023799248998,0.5758145238122823,0.06980324677525387,0.0025,0.004025382429497066,0.5122180418317756,0.04645281126190261,0.30002580879084906,0.02461714853827532
no_salary_hike,lightgbm,23,10,0.8458333333333334,0.02050669869476861,0.6259381367775199,0.0292243645159834,0.6091084986589396,0.032794432181822694,0.8036509878455667,0.018723988332495424,0.6434614680041163,0.1308186077651005,0.7825159155977293,0.045818670534276164,0.6259381367775199,0.0292243645159834,0.8458333333333334,0.02050669869476861,0.15583333333333332,0.021173154444621672,0.632872809455048,0.05173281169407162,0.0016666666666666666,0.0035136418446315323,0.7999046374387262,0.11838115443227905,0.28659048501175766,0.03065590777926788
no_salary_hike,xgboost,23,10,0.8516666666666668,0.01610152971798828,0.6226257126620103,0.023448554563797717,0.5971188415314365,0.018631555734433664,0.8029922935306232,0.01526373825334895,0.5757158297662499,0.020989430973776573,0.7608878021915837,0.014972722712739006,0.6226257126620103,0.023448554563797717,0.8516666666666668,0.01610152971798828,0.14999999999999997,0.017123372230469374,0.6379946257591119,0.04511419477709006,0.0016666666666666666,0.0035136418446315323,0.4752716032913278,0.04355148087237427,0.26134445542931467,0.022248562283556608
no_salary_hike_no_attrition,catboost,22,10,0.8150000000000001,0.018341748910243528,0.6017495279473501,0.022704863514404067,0.5567283135865514,0.02099095594059805,0.768702175583545,0.015924934970645028,0.5193625479848223,0.021662577459763663,0.7283441854950181,0.013666372799443296,0.6017495279473501,0.022704863514404067,0.8150000000000001,0.018341748910243528,0.18666666666666668,0.01932503014547344,0.5791303651356009,0.047593617491271,0.0016666666666666666,0.0035136418446315323,0.5107705347223614,0.04392425878784694,0.29949319053473056,0.025073839081378106
