feature,mean_abs_shap,rank,fold
EmpEnvironmentSatisfaction,0.7138016051326862,1,1
EmpLastSalaryHikePercent,0.4411362018468993,2,1
YearsSinceLastPromotion,0.3803405851179296,3,1
EmpDepartment,0.1339945864612116,4,1
EmpWorkLifeBalance,0.12307007930963176,5,1
ExperienceYearsInCurrentRole,0.08660171887146109,6,1
EmpJobRole,0.05709069963744969,7,1
DistanceFromHome,0.04780008601461851,8,1
EmpHourlyRate,0.04458068526086631,9,1
EmpEducationLevel,0.03724219829987511,10,1
BusinessTravelFrequency,0.03286434631974532,11,1
YearsWithCurrManager,0.025309395274056307,12,1
Attrition,0.020698838408420798,13,1
EmpJobLevel,0.018626277289282785,14,1
OverTime,0.01801981582381315,15,1
NumCompaniesWorked,0.01796045507031026,16,1
EducationBackground,0.017323654013417376,17,1
ExperienceYearsAtThisCompany,0.01716251002718922,18,1
TrainingTimesLastYear,0.01610327870421299,19,1
Age,0.014760080266266799,20,1
EmpJobInvolvement,0.01283215260888347,21,1
TotalWorkExperienceInYears,0.012399864412003421,22,1
EmpJobSatisfaction,0.010820527693624495,23,1
EmpRelationshipSatisfaction,0.010653015696492973,24,1
EmpEnvironmentSatisfaction,0.6876619160715887,1,2
EmpLastSalaryHikePercent,0.4728173404268426,2,2
YearsSinceLastPromotion,0.33569806825778287,3,2
EmpDepartment,0.1458462721139778,4,2
EmpWorkLifeBalance,0.14072580723839087,5,2
EmpJobRole,0.07748852787434275,6,2
ExperienceYearsInCurrentRole,0.07393184146069333,7,2
YearsWithCurrManager,0.03670040864547918,8,2
EmpHourlyRate,0.03366788674752786,9,2
EmpEducationLevel,0.031441525119061786,10,2
DistanceFromHome,0.02997071440527955,11,2
ExperienceYearsAtThisCompany,0.026093009896308056,12,2
BusinessTravelFrequency,0.023125900838896058,13,2
EmpRelationshipSatisfaction,0.021994658812286072,14,2
NumCompaniesWorked,0.02150062249655147,15,2
EducationBackground,0.021494398219472775,16,2
EmpJobLevel,0.015949230483753872,17,2
Age,0.015855162945922163,18,2
EmpJobSatisfaction,0.013796374485455435,19,2
OverTime,0.013057431425913759,20,2
TrainingTimesLastYear,0.012151698310482802,21,2
TotalWorkExperienceInYears,0.010765682818212717,22,2
EmpJobInvolvement,0.009018548268944998,23,2
Attrition,0.007636191281711937,24,2
EmpEnvironmentSatisfaction,0.6329252522624683,1,3
EmpLastSalaryHikePercent,0.46204259565322997,2,3
YearsSinceLastPromotion,0.3449096513457989,3,3
EmpDepartment,0.1496079419346814,4,3
EmpWorkLifeBalance,0.1297290376022602,5,3
ExperienceYearsInCurrentRole,0.08623602910782377,6,3
EmpJobRole,0.05664711671324837,7,3
EmpHourlyRate,0.044188340305761506,8,3
DistanceFromHome,0.04318826739962826,9,3
BusinessTravelFrequency,0.042067528732251336,10,3
EmpEducationLevel,0.037090710286039635,11,3
YearsWithCurrManager,0.030656438754902975,12,3
TrainingTimesLastYear,0.029332164266228963,13,3
OverTime,0.02462202789081137,14,3
EducationBackground,0.019785489054948716,15,3
EmpJobSatisfaction,0.0197016312926053,16,3
NumCompaniesWorked,0.01731385364642797,17,3
Attrition,0.014329679211719697,18,3
EmpJobLevel,0.01432933552841845,19,3
Age,0.013846644615761695,20,3
ExperienceYearsAtThisCompany,0.013657282314161565,21,3
EmpRelationshipSatisfaction,0.012190019391134486,22,3
TotalWorkExperienceInYears,0.011665538865584,23,3
EmpJobInvolvement,0.009733110294049899,24,3
EmpEnvironmentSatisfaction,0.6682801848190896,1,4
EmpLastSalaryHikePercent,0.4179697295832414,2,4
YearsSinceLastPromotion,0.29623653447780135,3,4
EmpDepartment,0.14456613192300177,4,4
EmpWorkLifeBalance,0.13816103167313806,5,4
ExperienceYearsInCurrentRole,0.09637585095230834,6,4
EmpJobRole,0.06590473544935464,7,4
DistanceFromHome,0.0511116456017663,8,4
BusinessTravelFrequency,0.04401138829307571,9,4
EmpHourlyRate,0.028894311207122388,10,4
YearsWithCurrManager,0.0278389094836478,11,4
OverTime,0.02765946476299288,12,4
EmpEducationLevel,0.024550985229373046,13,4
EmpJobLevel,0.019036078349865277,14,4
Age,0.018622486560360373,15,4
EmpJobInvolvement,0.015059750170409069,16,4
TrainingTimesLastYear,0.01394131371008267,17,4
TotalWorkExperienceInYears,0.013323230224193303,18,4
EmpRelationshipSatisfaction,0.012863661610148716,19,4
EmpJobSatisfaction,0.01242020414655622,20,4
EducationBackground,0.012052190048727492,21,4
ExperienceYearsAtThisCompany,0.011092392245984618,22,4
Attrition,0.011080434106143212,23,4
NumCompaniesWorked,0.009076752446887078,24,4
EmpEnvironmentSatisfaction,0.68151458180464,1,5
EmpLastSalaryHikePercent,0.47696047786957374,2,5
YearsSinceLastPromotion,0.3288952944651433,3,5
EmpWorkLifeBalance,0.15581656016692833,4,5
EmpDepartment,0.1538063412559175,5,5
ExperienceYearsInCurrentRole,0.08654683950126657,6,5
BusinessTravelFrequency,0.055182702886968735,7,5
DistanceFromHome,0.05293202756939924,8,5
EmpHourlyRate,0.05035912253924133,9,5
EmpJobRole,0.033893247088004994,10,5
YearsWithCurrManager,0.02898767522663268,11,5
OverTime,0.019409976324174814,12,5
TrainingTimesLastYear,0.01778811938187448,13,5
Age,0.017572081731837136,14,5
EducationBackground,0.017406179544940507,15,5
EmpJobLevel,0.017344720339146694,16,5
EmpJobSatisfaction,0.016833834552699076,17,5
EmpRelationshipSatisfaction,0.016036874284114315,18,5
EmpJobInvolvement,0.015464536291135457,19,5
EmpEducationLevel,0.013283813136245486,20,5
ExperienceYearsAtThisCompany,0.010891781395441282,21,5
TotalWorkExperienceInYears,0.009447476022215916,22,5
NumCompaniesWorked,0.007666376646188603,23,5
Attrition,0.002513162681109921,24,5
