top_k,fold_a,fold_b,jaccard
5,1,2,1.0
5,1,3,1.0
5,1,4,1.0
5,1,5,1.0
5,2,3,1.0
5,2,4,1.0
5,2,5,1.0
5,3,4,1.0
5,3,5,1.0
5,4,5,1.0
10,1,2,0.8181818181818182
10,1,3,0.8181818181818182
10,1,4,0.8181818181818182
10,1,5,0.8181818181818182
10,2,3,0.6666666666666666
10,2,4,0.6666666666666666
10,2,5,0.6666666666666666
10,3,4,1.0
10,3,5,1.0
10,4,5,1.0
15,1,2,0.6666666666666666
15,1,3,0.7647058823529411
15,1,4,0.875
15,1,5,0.6666666666666666
15,2,3,0.6666666666666666
15,2,4,0.6666666666666666
15,2,5,0.5789473684210527
15,3,4,0.7647058823529411
15,3,5,0.875
15,4,5,0.7647058823529411
