feature,feature_value,shap_value,abs_shap_value,direction
EmpEnvironmentSatisfaction,3,0.30299518853217394,0.30299518853217394,positive
EmpLastSalaryHikePercent,13,0.25613528368220356,0.25613528368220356,positive
EmpDepartment,Development,0.06860907455008229,0.06860907455008229,positive
YearsSinceLastPromotion,6,-0.055393207384469324,0.055393207384469324,negative
EmpWorkLifeBalance,3,0.014321146309000922,0.014321146309000922,positive
EmpJobInvolvement,4,0.00896293931651672,0.00896293931651672,positive
ExperienceYearsAtThisCompany,7,0.008173539111838381,0.008173539111838381,positive
BusinessTravelFrequency,Travel_Rarely,0.00796820637075106,0.00796820637075106,positive
OverTime,Yes,0.006517024739837916,0.006517024739837916,positive
TotalWorkExperienceInYears,13,0.006023122881482276,0.006023122881482276,positive
EducationBackground,Medical,0.004961199632236634,0.004961199632236634,positive
Attrition,No,0.00378824750322498,0.00378824750322498,positive
Age,37,0.003153775240544314,0.003153775240544314,positive
DistanceFromHome,6,0.0028791791542071535,0.0028791791542071535,positive
NumCompaniesWorked,4,0.002814132960220085,0.002814132960220085,positive
YearsWithCurrManager,7,0.0025174357290151566,0.0025174357290151566,positive
EmpJobLevel,2,0.002354394624972206,0.002354394624972206,positive
EmpJobRole,Delivery Manager,0.002351825741840173,0.002351825741840173,positive
EmpJobSatisfaction,1,0.0017837242589730312,0.0017837242589730312,positive
EmpEducationLevel,3,0.0016500060699118756,0.0016500060699118756,positive
ExperienceYearsInCurrentRole,7,-0.0005571688152448553,0.0005571688152448553,negative
TrainingTimesLastYear,2,0.0004660971824983766,0.0004660971824983766,positive
EmpHourlyRate,51,0.00021188574510790635,0.00021188574510790635,positive
EmpRelationshipSatisfaction,1,2.0530930797003975e-05,2.0530930797003975e-05,positive
