feature,feature_value,shap_value,abs_shap_value,direction
EmpEnvironmentSatisfaction,3,0.3926222427568368,0.3926222427568368,positive
EmpLastSalaryHikePercent,16,0.21936734932471388,0.21936734932471388,positive
EmpWorkLifeBalance,1,-0.1296295064607769,0.1296295064607769,negative
YearsSinceLastPromotion,1,-0.05959551449508612,0.05959551449508612,negative
EmpDepartment,Sales,-0.02477473792436668,0.02477473792436668,negative
EmpJobInvolvement,2,-0.016020063907565142,0.016020063907565142,negative
ExperienceYearsAtThisCompany,4,0.010141329636235229,0.010141329636235229,positive
ExperienceYearsInCurrentRole,2,0.010028315794322448,0.010028315794322448,positive
BusinessTravelFrequency,Travel_Rarely,0.0078477442576919,0.0078477442576919,positive
EmpHourlyRate,33,0.00577430480741565,0.00577430480741565,positive
TotalWorkExperienceInYears,12,0.004477145646942307,0.004477145646942307,positive
EducationBackground,Marketing,0.004093095701173764,0.004093095701173764,positive
Age,36,0.004028557583906727,0.004028557583906727,positive
EmpJobSatisfaction,2,0.0031704400460058923,0.0031704400460058923,positive
OverTime,No,-0.0030708709493805723,0.0030708709493805723,negative
NumCompaniesWorked,2,0.002814132960220085,0.002814132960220085,positive
Attrition,No,0.002805297806011799,0.002805297806011799,positive
YearsWithCurrManager,3,-0.002476992359645743,0.002476992359645743,negative
EmpEducationLevel,2,0.002051135224923763,0.002051135224923763,positive
DistanceFromHome,17,-0.0014683314550973207,0.0014683314550973207,negative
EmpJobLevel,2,0.0013481452538070822,0.0013481452538070822,positive
EmpRelationshipSatisfaction,3,0.0011043221604378302,0.0011043221604378302,positive
EmpJobRole,Sales Executive,-0.00048752376876885284,0.00048752376876885284,negative
TrainingTimesLastYear,1,0.0004660971824983766,0.0004660971824983766,positive
