feature,feature_value,shap_value,abs_shap_value,direction
EmpLastSalaryHikePercent,22,-0.8315950640692521,0.8315950640692521,negative
EmpDepartment,Development,0.21201946212210104,0.21201946212210104,positive
YearsSinceLastPromotion,7,-0.16204898056929978,0.16204898056929978,negative
EmpEnvironmentSatisfaction,1,-0.07651862847775817,0.07651862847775817,negative
EmpJobSatisfaction,4,-0.012972383001293362,0.012972383001293362,negative
OverTime,Yes,0.012135220481071591,0.012135220481071591,positive
ExperienceYearsAtThisCompany,9,-0.012024679544753636,0.012024679544753636,negative
EmpJobRole,Developer,0.011245650554432364,0.011245650554432364,positive
ExperienceYearsInCurrentRole,8,-0.011051744179203718,0.011051744179203718,negative
EmpHourlyRate,33,-0.008243931962659264,0.008243931962659264,negative
Age,32,0.008049875503008478,0.008049875503008478,positive
EmpWorkLifeBalance,3,0.006116653686596433,0.006116653686596433,positive
EmpJobInvolvement,3,0.004347137970117199,0.004347137970117199,positive
TotalWorkExperienceInYears,9,0.003172666253226465,0.003172666253226465,positive
BusinessTravelFrequency,Travel_Rarely,0.0025136354731058958,0.0025136354731058958,positive
EmpJobLevel,2,0.0024047379556724853,0.0024047379556724853,positive
YearsWithCurrManager,8,0.001373351676464052,0.001373351676464052,positive
EmpRelationshipSatisfaction,2,0.0012331999633468846,0.0012331999633468846,positive
Attrition,No,0.0012159335413983057,0.0012159335413983057,positive
DistanceFromHome,1,0.0011134757503454434,0.0011134757503454434,positive
EducationBackground,Medical,0.0007837730047865149,0.0007837730047865149,positive
EmpEducationLevel,3,0.0006177045330220279,0.0006177045330220279,positive
NumCompaniesWorked,1,-0.00017303318043581837,0.00017303318043581837,negative
TrainingTimesLastYear,3,0.00010159350585422517,0.00010159350585422517,positive
