feature_set,fold,feature,rank,mean_abs_grouped_shap
no_salary_hike_no_attrition,1,EmpEnvironmentSatisfaction,1,0.9777214572684089
no_salary_hike_no_attrition,1,YearsSinceLastPromotion,2,0.5186134307960553
no_salary_hike_no_attrition,1,ExperienceYearsInCurrentRole,3,0.2380480889827595
no_salary_hike_no_attrition,1,EmpWorkLifeBalance,4,0.23462021551466833
no_salary_hike_no_attrition,1,EmpDepartment,5,0.22976532174636508
no_salary_hike_no_attrition,1,EmpHourlyRate,6,0.1866624005017204
no_salary_hike_no_attrition,1,DistanceFromHome,7,0.14231591546374855
no_salary_hike_no_attrition,1,YearsWithCurrManager,8,0.11899042828663368
no_salary_hike_no_attrition,1,EmpJobRole,9,0.10273454778305474
no_salary_hike_no_attrition,1,TotalWorkExperienceInYears,10,0.09261394496142102
no_salary_hike_no_attrition,1,BusinessTravelFrequency,11,0.08905928439602981
no_salary_hike_no_attrition,1,EmpJobSatisfaction,12,0.0865874783708326
no_salary_hike_no_attrition,1,TrainingTimesLastYear,13,0.06610688416779643
no_salary_hike_no_attrition,1,EmpEducationLevel,14,0.06449204075462249
no_salary_hike_no_attrition,1,ExperienceYearsAtThisCompany,15,0.05913472690634888
no_salary_hike_no_attrition,1,EmpJobLevel,16,0.056809096034996606
no_salary_hike_no_attrition,1,NumCompaniesWorked,17,0.055267634294108976
no_salary_hike_no_attrition,1,EducationBackground,18,0.05465743890769469
no_salary_hike_no_attrition,1,EmpRelationshipSatisfaction,19,0.04781454215667003
no_salary_hike_no_attrition,1,EmpJobInvolvement,20,0.04181584692651086
no_salary_hike_no_attrition,1,OverTime,21,0.03877003203302189
no_salary_hike_no_attrition,2,EmpEnvironmentSatisfaction,1,1.0117243295296148
no_salary_hike_no_attrition,2,YearsSinceLastPromotion,2,0.5172457270502895
no_salary_hike_no_attrition,2,EmpWorkLifeBalance,3,0.24756428267088873
no_salary_hike_no_attrition,2,EmpDepartment,4,0.23142312746171634
no_salary_hike_no_attrition,2,ExperienceYearsInCurrentRole,5,0.19523493516608142
no_salary_hike_no_attrition,2,YearsWithCurrManager,6,0.1397700765554166
no_salary_hike_no_attrition,2,EmpHourlyRate,7,0.13296184928767615
no_salary_hike_no_attrition,2,EmpJobRole,8,0.12287451628443603
no_salary_hike_no_attrition,2,TotalWorkExperienceInYears,9,0.11913216753402796
no_salary_hike_no_attrition,2,EmpRelationshipSatisfaction,10,0.10933888440744745
no_salary_hike_no_attrition,2,DistanceFromHome,11,0.09778676731390684
no_salary_hike_no_attrition,2,ExperienceYearsAtThisCompany,12,0.08842597011830043
no_salary_hike_no_attrition,2,TrainingTimesLastYear,13,0.06558038753157436
no_salary_hike_no_attrition,2,EmpEducationLevel,14,0.06468773996934438
no_salary_hike_no_attrition,2,NumCompaniesWorked,15,0.061310963540462476
no_salary_hike_no_attrition,2,EmpJobLevel,16,0.05477695788268749
no_salary_hike_no_attrition,2,BusinessTravelFrequency,17,0.052133634127838176
no_salary_hike_no_attrition,2,EmpJobInvolvement,18,0.04403735813409892
no_salary_hike_no_attrition,2,EducationBackground,19,0.04045974601960754
no_salary_hike_no_attrition,2,OverTime,20,0.03897236085411148
no_salary_hike_no_attrition,2,EmpJobSatisfaction,21,0.03824491117548961
no_salary_hike_no_attrition,3,EmpEnvironmentSatisfaction,1,0.9828314873234679
no_salary_hike_no_attrition,3,YearsSinceLastPromotion,2,0.5192289561817436
no_salary_hike_no_attrition,3,EmpWorkLifeBalance,3,0.23254364782009765
no_salary_hike_no_attrition,3,ExperienceYearsInCurrentRole,4,0.22639135937279206
no_salary_hike_no_attrition,3,EmpDepartment,5,0.21675094635445727
no_salary_hike_no_attrition,3,EmpJobRole,6,0.1595382651504931
no_salary_hike_no_attrition,3,YearsWithCurrManager,7,0.13610343816140408
no_salary_hike_no_attrition,3,EmpHourlyRate,8,0.1239545279953341
no_salary_hike_no_attrition,3,TotalWorkExperienceInYears,9,0.11055500956115591
no_salary_hike_no_attrition,3,EmpJobSatisfaction,10,0.09098903099766176
no_salary_hike_no_attrition,3,DistanceFromHome,11,0.08253720023369371
no_salary_hike_no_attrition,3,EducationBackground,12,0.08144131980677938
no_salary_hike_no_attrition,3,ExperienceYearsAtThisCompany,13,0.07663048793603795
no_salary_hike_no_attrition,3,NumCompaniesWorked,14,0.0677808610713934
no_salary_hike_no_attrition,3,TrainingTimesLastYear,15,0.057355963221319445
no_salary_hike_no_attrition,3,BusinessTravelFrequency,16,0.05501301672419585
no_salary_hike_no_attrition,3,EmpEducationLevel,17,0.04764147145906463
no_salary_hike_no_attrition,3,EmpJobInvolvement,18,0.03261443453221646
no_salary_hike_no_attrition,3,EmpJobLevel,19,0.029326901501270992
no_salary_hike_no_attrition,3,EmpRelationshipSatisfaction,20,0.028780249234417472
no_salary_hike_no_attrition,3,OverTime,21,0.02077812789999977
no_salary_hike_no_attrition,4,EmpEnvironmentSatisfaction,1,1.0797173626129937
no_salary_hike_no_attrition,4,YearsSinceLastPromotion,2,0.4687023311673935
no_salary_hike_no_attrition,4,EmpWorkLifeBalance,3,0.24378676239650507
no_salary_hike_no_attrition,4,EmpDepartment,4,0.2249432248419099
no_salary_hike_no_attrition,4,ExperienceYearsInCurrentRole,5,0.18923978171640354
no_salary_hike_no_attrition,4,EmpHourlyRate,6,0.15827590582864812
no_salary_hike_no_attrition,4,TotalWorkExperienceInYears,7,0.11208448424133369
no_salary_hike_no_attrition,4,EmpJobRole,8,0.11200138446834494
no_salary_hike_no_attrition,4,DistanceFromHome,9,0.11104088989118786
no_salary_hike_no_attrition,4,YearsWithCurrManager,10,0.09939958437106623
no_salary_hike_no_attrition,4,BusinessTravelFrequency,11,0.09718230651536336
no_salary_hike_no_attrition,4,EmpJobSatisfaction,12,0.08702597692220783
no_salary_hike_no_attrition,4,EmpJobLevel,13,0.08432247548811979
no_salary_hike_no_attrition,4,EmpEducationLevel,14,0.0738181734922465
no_salary_hike_no_attrition,4,EducationBackground,15,0.07321439314675647
no_salary_hike_no_attrition,4,ExperienceYearsAtThisCompany,16,0.06495085625071322
no_salary_hike_no_attrition,4,NumCompaniesWorked,17,0.05738348975773988
no_salary_hike_no_attrition,4,TrainingTimesLastYear,18,0.05432279568239109
no_salary_hike_no_attrition,4,OverTime,19,0.04902638107370068
no_salary_hike_no_attrition,4,EmpRelationshipSatisfaction,20,0.03671252336399549
no_salary_hike_no_attrition,4,EmpJobInvolvement,21,0.022384909587466004
no_salary_hike_no_attrition,5,EmpEnvironmentSatisfaction,1,1.0206508084549568
no_salary_hike_no_attrition,5,YearsSinceLastPromotion,2,0.5129709530608833
no_salary_hike_no_attrition,5,EmpWorkLifeBalance,3,0.2450235249987802
no_salary_hike_no_attrition,5,ExperienceYearsInCurrentRole,4,0.23582762806391758
no_salary_hike_no_attrition,5,EmpDepartment,5,0.2324502592835213
no_salary_hike_no_attrition,5,EmpHourlyRate,6,0.15289934942088115
no_salary_hike_no_attrition,5,YearsWithCurrManager,7,0.12357515192100739
no_salary_hike_no_attrition,5,EmpJobSatisfaction,8,0.10778855791043801
no_salary_hike_no_attrition,5,DistanceFromHome,9,0.10294071971729864
no_salary_hike_no_attrition,5,EmpJobRole,10,0.09577289831633809
no_salary_hike_no_attrition,5,BusinessTravelFrequency,11,0.08682612602206063
no_salary_hike_no_attrition,5,ExperienceYearsAtThisCompany,12,0.08503390887603422
no_salary_hike_no_attrition,5,TotalWorkExperienceInYears,13,0.08459660078628481
no_salary_hike_no_attrition,5,NumCompaniesWorked,14,0.07261493825293049
no_salary_hike_no_attrition,5,TrainingTimesLastYear,15,0.06687610738119676
no_salary_hike_no_attrition,5,EmpJobLevel,16,0.059139893608739336
no_salary_hike_no_attrition,5,EmpRelationshipSatisfaction,17,0.049329441606631816
no_salary_hike_no_attrition,5,EducationBackground,18,0.0483315032615792
no_salary_hike_no_attrition,5,OverTime,19,0.035135034172021226
no_salary_hike_no_attrition,5,EmpEducationLevel,20,0.03379408179615792
no_salary_hike_no_attrition,5,EmpJobInvolvement,21,0.03101746333672458
no_salary_hike_no_attrition_no_department,1,EmpEnvironmentSatisfaction,1,0.9664236182980352
no_salary_hike_no_attrition_no_department,1,YearsSinceLastPromotion,2,0.507666747165543
no_salary_hike_no_attrition_no_department,1,EmpJobRole,3,0.25210593455202696
no_salary_hike_no_attrition_no_department,1,ExperienceYearsInCurrentRole,4,0.2326050639452458
no_salary_hike_no_attrition_no_department,1,EmpWorkLifeBalance,5,0.22628977185760152
no_salary_hike_no_attrition_no_department,1,EmpHourlyRate,6,0.17713737992404882
no_salary_hike_no_attrition_no_department,1,DistanceFromHome,7,0.13591386625848828
no_salary_hike_no_attrition_no_department,1,YearsWithCurrManager,8,0.10869966859908244
no_salary_hike_no_attrition_no_department,1,TotalWorkExperienceInYears,9,0.09612260922569678
no_salary_hike_no_attrition_no_department,1,EmpJobSatisfaction,10,0.08200629501487937
no_salary_hike_no_attrition_no_department,1,BusinessTravelFrequency,11,0.07998853019800865
no_salary_hike_no_attrition_no_department,1,TrainingTimesLastYear,12,0.07095446939183603
no_salary_hike_no_attrition_no_department,1,ExperienceYearsAtThisCompany,13,0.06023560156217071
no_salary_hike_no_attrition_no_department,1,EmpEducationLevel,14,0.056829870759530526
no_salary_hike_no_attrition_no_department,1,EmpRelationshipSatisfaction,15,0.05490333260478211
no_salary_hike_no_attrition_no_department,1,NumCompaniesWorked,16,0.05367147951235691
no_salary_hike_no_attrition_no_department,1,EducationBackground,17,0.05165107885938293
no_salary_hike_no_attrition_no_department,1,EmpJobLevel,18,0.050502716532981946
no_salary_hike_no_attrition_no_department,1,EmpJobInvolvement,19,0.03945091993380427
no_salary_hike_no_attrition_no_department,1,OverTime,20,0.034879390404077844
no_salary_hike_no_attrition_no_department,2,EmpEnvironmentSatisfaction,1,1.0154419525435918
no_salary_hike_no_attrition_no_department,2,YearsSinceLastPromotion,2,0.5099426515285611
