feature_set,fold_a,fold_b,top_k,jaccard,spearman
no_salary_hike_no_attrition,1,2,5,1.0,0.8402597402597403
no_salary_hike_no_attrition,1,2,10,0.8181818181818182,0.8402597402597403
no_salary_hike_no_attrition,1,2,15,0.7647058823529411,0.8402597402597403
no_salary_hike_no_attrition,1,3,5,1.0,0.9103896103896105
no_salary_hike_no_attrition,1,3,10,0.8181818181818182,0.9103896103896105
no_salary_hike_no_attrition,1,3,15,0.7647058823529411,0.9103896103896105
no_salary_hike_no_attrition,1,4,5,1.0,0.9519480519480519
no_salary_hike_no_attrition,1,4,10,1.0,0.9519480519480519
no_salary_hike_no_attrition,1,4,15,0.7647058823529411,0.9519480519480519
no_salary_hike_no_attrition,1,5,5,1.0,0.9350649350649349
no_salary_hike_no_attrition,1,5,10,0.8181818181818182,0.9350649350649349
no_salary_hike_no_attrition,1,5,15,0.875,0.9350649350649349
no_salary_hike_no_attrition,2,3,5,1.0,0.8025974025974025
no_salary_hike_no_attrition,2,3,10,0.8181818181818182,0.8025974025974025
no_salary_hike_no_attrition,2,3,15,0.7647058823529411,0.8025974025974025
no_salary_hike_no_attrition,2,4,5,1.0,0.7909090909090909
no_salary_hike_no_attrition,2,4,10,0.8181818181818182,0.7909090909090909
no_salary_hike_no_attrition,2,4,15,0.5789473684210527,0.7909090909090909
no_salary_hike_no_attrition,2,5,5,1.0,0.7831168831168831
no_salary_hike_no_attrition,2,5,10,0.6666666666666666,0.7831168831168831
no_salary_hike_no_attrition,2,5,15,0.7647058823529411,0.7831168831168831
no_salary_hike_no_attrition,3,4,5,1.0,0.9025974025974025
no_salary_hike_no_attrition,3,4,10,0.8181818181818182,0.9025974025974025
no_salary_hike_no_attrition,3,4,15,0.6666666666666666,0.9025974025974025
no_salary_hike_no_attrition,3,5,5,1.0,0.9051948051948051
no_salary_hike_no_attrition,3,5,10,0.8181818181818182,0.9051948051948051
no_salary_hike_no_attrition,3,5,15,0.875,0.9051948051948051
no_salary_hike_no_attrition,4,5,5,1.0,0.8935064935064935
no_salary_hike_no_attrition,4,5,10,0.8181818181818182,0.8935064935064935
no_salary_hike_no_attrition,4,5,15,0.6666666666666666,0.8935064935064935
no_salary_hike_no_attrition_no_department,1,2,5,1.0,0.8571428571428572
no_salary_hike_no_attrition_no_department,1,2,10,0.6666666666666666,0.8571428571428572
no_salary_hike_no_attrition_no_department,1,2,15,0.875,0.8571428571428572
no_salary_hike_no_attrition_no_department,1,3,5,1.0,0.9022556390977443
