feature,mean_abs_shap
EmpEnvironmentSatisfaction,0.3022080064869837
EmpLastSalaryHikePercent,0.21499311513299474
YearsSinceLastPromotion,0.14212012337761698
EmpDepartment,0.053490449769411995
ExperienceYearsInCurrentRole,0.023099200678331586
EmpWorkLifeBalance,0.018585974660324606
ExperienceYearsAtThisCompany,0.008216168023946353
EmpJobInvolvement,0.007029897518239747
EmpJobRole,0.006057097443642365
YearsWithCurrManager,0.006007916259638927
EducationBackground,0.004316341864645052
NumCompaniesWorked,0.004056457996487146
BusinessTravelFrequency,0.0040227441012875105
EmpJobSatisfaction,0.0035450064198922987
TotalWorkExperienceInYears,0.003507789758263053
Attrition,0.0030703082765040405
EmpHourlyRate,0.0030070650183699676
OverTime,0.002939919891763572
Age,0.0027745773828580077
EmpJobLevel,0.002730219203891707
EmpRelationshipSatisfaction,0.0025402196081929667
DistanceFromHome,0.0020225241116136666
EmpEducationLevel,0.0017319752021644455
TrainingTimesLastYear,0.0008193185110632014
