feature,feature_value,shap_value,abs_shap_value,direction
EmpEnvironmentSatisfaction,1,6.413470115942553,6.413470115942553,positive
YearsSinceLastPromotion,3,2.7819405335784335,2.7819405335784335,positive
ExperienceYearsInCurrentRole,8,1.0160610237796663,1.0160610237796663,positive
Age,37,0.33106631279912835,0.33106631279912835,positive
ExperienceYearsAtThisCompany,10,0.24965245574784858,0.24965245574784858,positive
EmpDepartment,Research & Development,0.22688554425567148,0.22688554425567148,positive
EmpLastSalaryHikePercent,17,0.22398014351096165,0.22398014351096165,positive
YearsWithCurrManager,7,0.21341452703651342,0.21341452703651342,positive
DistanceFromHome,13,0.19682767654454542,0.19682767654454542,positive
EmpHourlyRate,47,0.1916327105655627,0.1916327105655627,positive
TotalWorkExperienceInYears,10,-0.18803306332214406,0.18803306332214406,negative
EmpJobRole,Research Scientist,0.1602220036804097,0.1602220036804097,positive
EmpJobLevel,2,-0.15690023753791563,0.15690023753791563,negative
EmpWorkLifeBalance,3,-0.14923020407852536,0.14923020407852536,negative
EmpJobSatisfaction,4,0.14817242613353454,0.14817242613353454,positive
NumCompaniesWorked,1,0.09207306988224673,0.09207306988224673,positive
EmpRelationshipSatisfaction,1,0.047808247679970814,0.047808247679970814,positive
Attrition,No,-0.040212298120189435,0.040212298120189435,negative
EmpEducationLevel,3,0.0388993588278569,0.0388993588278569,positive
EmpJobInvolvement,3,0.03823434975020159,0.03823434975020159,positive
BusinessTravelFrequency,Travel_Rarely,-0.016409178901832154,0.016409178901832154,negative
TrainingTimesLastYear,2,-0.009635818711965097,0.009635818711965097,negative
OverTime,No,0.0003421962102963216,0.0003421962102963216,positive
EducationBackground,Medical,0.0,0.0,positive
