feature,feature_value,shap_value,abs_shap_value,direction
EmpWorkLifeBalance,1,-1.2173297273082677,1.2173297273082677,negative
EmpEnvironmentSatisfaction,3,1.0324014771299714,1.0324014771299714,positive
EmpJobRole,Sales Executive,-0.6310778074608839,0.6310778074608839,negative
YearsSinceLastPromotion,1,-0.458268259263342,0.458268259263342,negative
EmpHourlyRate,33,0.3983987608916428,0.3983987608916428,positive
DistanceFromHome,17,0.37926685906000074,0.37926685906000074,positive
EmpLastSalaryHikePercent,16,0.34256590473287063,0.34256590473287063,positive
EmpJobSatisfaction,2,0.306076250802868,0.306076250802868,positive
ExperienceYearsInCurrentRole,2,0.21500612814819695,0.21500612814819695,positive
ExperienceYearsAtThisCompany,4,0.14763165272700304,0.14763165272700304,positive
EmpJobInvolvement,2,-0.14248498164477955,0.14248498164477955,negative
TotalWorkExperienceInYears,12,0.1241734983791437,0.1241734983791437,positive
OverTime,No,-0.11906394313266482,0.11906394313266482,negative
EmpEducationLevel,2,-0.11248974961571875,0.11248974961571875,negative
EmpJobLevel,2,0.09458381155573647,0.09458381155573647,positive
YearsWithCurrManager,3,0.09421605040831246,0.09421605040831246,positive
BusinessTravelFrequency,Travel_Rarely,0.08964530075761837,0.08964530075761837,positive
EmpDepartment,Sales,-0.08085892912512149,0.08085892912512149,negative
Age,36,-0.07949993005584477,0.07949993005584477,negative
NumCompaniesWorked,2,-0.05296325181526543,0.05296325181526543,negative
EducationBackground,Marketing,-0.0397889372074044,0.0397889372074044,negative
EmpRelationshipSatisfaction,3,0.01659792059000569,0.01659792059000569,positive
Attrition,No,0.01034621400737313,0.01034621400737313,positive
TrainingTimesLastYear,1,0.000291012373221115,0.000291012373221115,positive
