feature,feature_value,shap_value,abs_shap_value,direction
EmpEnvironmentSatisfaction,2,5.032649177319231,5.032649177319231,positive
YearsSinceLastPromotion,1,2.095046737359935,2.095046737359935,positive
ExperienceYearsInCurrentRole,3,0.8048555519502517,0.8048555519502517,positive
EmpHourlyRate,75,-0.43812650440557704,0.43812650440557704,negative
EmpJobSatisfaction,1,-0.4340288291077055,0.4340288291077055,negative
DistanceFromHome,1,-0.3807937833540947,0.3807937833540947,negative
EmpLastSalaryHikePercent,21,-0.2774099290732227,0.2774099290732227,negative
EmpJobRole,Sales Executive,0.26881187487020364,0.26881187487020364,positive
TotalWorkExperienceInYears,9,-0.25036546943833987,0.25036546943833987,negative
YearsWithCurrManager,3,-0.24079226541936152,0.24079226541936152,negative
EmpDepartment,Sales,0.22602599551315633,0.22602599551315633,positive
EmpJobLevel,2,-0.21436694211260998,0.21436694211260998,negative
EmpWorkLifeBalance,2,0.20328696046663494,0.20328696046663494,positive
EmpRelationshipSatisfaction,3,0.19556883441995726,0.19556883441995726,positive
Age,44,-0.1468717251077958,0.1468717251077958,negative
NumCompaniesWorked,5,-0.10039754799344155,0.10039754799344155,negative
OverTime,Yes,-0.07638761240808499,0.07638761240808499,negative
ExperienceYearsAtThisCompany,4,-0.05885609779575096,0.05885609779575096,negative
EmpEducationLevel,5,-0.04576151329895804,0.04576151329895804,negative
Attrition,No,-0.03967988070542183,0.03967988070542183,negative
BusinessTravelFrequency,Travel_Rarely,-0.01406044650100529,0.01406044650100529,negative
EmpJobInvolvement,3,0.006759955126944873,0.006759955126944873,positive
TrainingTimesLastYear,2,-0.004063242535851836,0.004063242535851836,negative
EducationBackground,Marketing,0.0,0.0,positive
