feature,feature_value,shap_value,abs_shap_value,direction
EmpEnvironmentSatisfaction,3,0.3080956749892477,0.3080956749892477,positive
EmpLastSalaryHikePercent,15,0.2422604348444906,0.2422604348444906,positive
YearsSinceLastPromotion,2,-0.0621007837719288,0.0621007837719288,negative
EmpDepartment,Development,0.0529577114421277,0.0529577114421277,positive
EmpWorkLifeBalance,3,0.0132341324024115,0.0132341324024115,positive
ExperienceYearsInCurrentRole,2,0.0101538517252953,0.0101538517252953,positive
YearsWithCurrManager,2,-0.009274689293812,0.009274689293812,negative
EmpJobInvolvement,3,0.0091023353283705,0.0091023353283705,positive
TotalWorkExperienceInYears,4,-0.0089577483722953,0.0089577483722953,negative
BusinessTravelFrequency,Travel_Rarely,0.0080708160132198,0.0080708160132198,positive
OverTime,Yes,0.0056607905742483,0.0056607905742483,positive
EducationBackground,Medical,0.0048011083938291,0.0048011083938291,positive
EmpEducationLevel,4,-0.0044449503701288,0.0044449503701288,negative
EmpJobLevel,1,0.0040501296300421,0.0040501296300421,positive
Attrition,No,0.0037882475032249,0.0037882475032249,positive
EmpJobSatisfaction,1,0.0032890328390547,0.0032890328390547,positive
Age,35,0.0031537752405443,0.0031537752405443,positive
NumCompaniesWorked,3,0.00281413296022,0.00281413296022,positive
ExperienceYearsAtThisCompany,2,-0.0024938875500027,0.0024938875500027,negative
DistanceFromHome,23,-0.0014683314550973,0.0014683314550973,negative
EmpJobRole,Business Analyst,-0.0011943596176204,0.0011943596176204,negative
EmpRelationshipSatisfaction,3,0.0011043221604378,0.0011043221604378,positive
EmpHourlyRate,30,-0.0005508386963449,0.0005508386963449,negative
TrainingTimesLastYear,3,0.0004660971824983,0.0004660971824983,positive
